final_ID,leaf_sample,Subplot,Species,leaf_area_cm2,leaf_mass_g,LMA_gm2,Year
4101,1,B01E,fagr,42.72,0.12951,30.31601124,2018
4096,1,B01E,fagr,76.72,0.20549,26.78441084,2018
4097,1,B01E,fagr,47.54,0.11645,24.49516197,2018
1741,1,B01E,fagr,64.72,0.17548,27.11372064,2018
4098,1,B01E,fagr,66.55,0.17595,26.43876784,2018
1680,1,B01E,quru,167.88,0.8817,52.5196569,2018
4103,1,B01W,acpe,183.57,0.56395,30.72125075,2018
1594,1,B01W,acru,29.48,0.11424,38.75169607,2018
1592,1,B01W,acru,40.27,0.14015,34.80258257,2018
4104,1,B01W,fagr,78.6,0.18716,23.81170483,2018
4105,1,B01W,fagr,69.28,0.16992,24.52655889,2018
1595,1,B01W,fagr,66.84,0.17561,26.27318971,2018
1627,1,B01W,fagr,41.33,0.08696,21.04040648,2018
1631,1,B01W,fagr,36.95,0.10127,27.40730717,2018
1628,1,B01W,fagr,51.24,0.12027,23.47189696,2018
1647,1,B01W,fagr,80.48,0.18536,23.03180915,2018
1649,1,B01W,fagr,105.15,0.26522,25.22301474,2018
4106,1,B01W,fagr,39.34,0.088553,22.50965938,2018
1780,1,B02W,acpe,241.61,0.6821,28.23144737,2018
4083,1,B02W,acpe,72.95,0.2296,31.47361206,2018
4076,1,B02W,acpe,230.59,0.6353,27.55106466,2018
4084,1,B02W,amel,27.64,0.0978,35.38350217,2018
1756,1,B02W,fagr,60.98,0.1783,29.23909479,2018
1755,1,B02W,fagr,54.84,0.1357,24.74471189,2018
1752,1,B02W,fagr,54.17,0.1346,24.84770168,2018
4080,1,B02W,fagr,60.18,0.154,25.58989698,2018
4077,1,B02W,fagr,52.61,0.1246,23.68371032,2018
1834,1,B02W,fagr,69.45,0.1747,25.15478762,2018
4078,1,B02W,fagr,57.6,0.161,27.95138889,2018
4082,1,B02W,fagr,59.69,0.151,25.29736974,2018
4079,1,B02E,acpe,52.22,0.1536,29.41401762,2018
1884,1,B02E,acpe,128.3,0.3965,30.90413094,2018
4094,1,B02E,acpe,170.36,0.4599,26.99577366,2018
4085,1,B02E,fagr,57.12,0.1565,27.39845938,2018
4087,1,B02E,fagr,69.41,0.1737,25.02521251,2018
4088,1,B02E,fagr,52.06,0.1236,23.74183634,2018
