Subplot,Veg_plot,In_out,Species,Filename,ID_tag_2018,ID_tag_added_2019_or_after,final_ID,Canopy_status,Maximum_DBH_estimate_when_tagged_cm,girdled?,Notes_2019,Notes_2020,Notes_2021
C03E,NE,i,acpe,C03E_acpe_02_07272018,1273,NA,1273,sap,3,n,,,
C03E,NE,i,acpe,C03E_acpe_01_07272018,1274,NA,1274,sap,2,n,,,
C03E,SE,o,fagr,C03E_fagr_03_07272018,1292,NA,1292,un,8,y,girdled,measured this year; replaced by #4609,not measured this year; dying
C03E,SE,o,fagr,C03E_fagr_01_07272018,1295,NA,1295,un,9,y,girdled,measured this year; replaced by #4608,not measured this year; dying
C04W,NW,i,acru,C04E_acru_03_07252018,1451,NA,1451,sap,3,n,Mistaken subplot ID in 2018; should be CO4W,,
C04E,SW,i,pist,C04W_pist_01_07252018,1515,NA,1515,sap,2,n,Mistaken subplot ID in 2018; should be CO4E,,
B01W,SE,i,acru,B01W_acru_02_08012018,1592,NA,1592,sap,3,n,,,
B01W,SE,i,acru,B01W_acru_01_08012018,1594,NA,1594,sap,3,n,,,
B01W,SE,i,fagr,B01W_fagr_03_08012018,1595,NA,1595,sap,2,n,,,
B01W,SW,i,fagr,B01W_fagr_04_08012018,1627,NA,1627,sap,2,n,,,
B01W,SW,i,fagr,B01W_fagr_06_08012018,1628,NA,1628,sap,2,n,,,
B01W,SW,i,fagr,B01W_fagr_05_08012018,1631,NA,1631,sap,4,n,,,
B01W,NW,i,fagr,B01W_fagr_07_08012018,1647,NA,1647,sap,2,n,,,
B01W,NW,i,fagr,B01W_fagr_08_08012018,1649,NA,1649,sap,2,n,,,
B01E,NE,i,fagr,B01E_fagr_01_08012018,1663,NA,1663,sap,2,n,,,
B01E,SE,i,quru,B01E_quru_01_08012018,1680,NA,1680,sap,3,n,Dead 2019; replaced by #4139 FAGR,,
B01E,NW,i,fagr,B01E_fagr_07_08012018,1741,NA,1741,sap,3,n,,,
B01E,NW,i,acpe,B01E_acpe_02_08012018,1742,NA,1742,sap,3,n,,,
B02W,NE,o,fagr,B02E_fagr_03_07292018,1752,NA,1752,un,9,y,"Subplot ID mistaken in 2018; GIRDLED. DEAD BRANCH, RELOCATED","girdled, not sampled this year, replaced by #4136",
B02W,NE,o,fagr,B02E_fagr_02_07292018,1755,NA,1755,un,9,y,"Subplot ID mistaken in 2018; GIRDLED. DEAD BRANCH, RELOCATED","girdled, not sampled this year, replaced by #4137",
B02W,NE,o,fagr,B02E_fagr_01_07292018,1756,NA,1756,un,11,y,"Subplot ID mistaken in 2018; GIRDLED. DEAD BRANCH, RELOCATED","girdled, not sampled this year, replaced by #4603",
B02W,SE,i,acpe,B02E_acpe_01_07292018,1780,NA,1780,sap,2,n,Subplot ID mistaken in 2018,,
B02W,NW,i,fagr,B02E_fagr_06_07292018,1834,NA,1834,un,8,n,Subplot ID mistaken in 2018,"dead, replaced with #4081",
B02E,SE,i,acpe,B02W_acpe_02_07292018,1884,NA,1884,sap,3,n,Subplot ID mistaken in 2018,,
B02E,NW,o,fagr,B02W_fagr_08_07292018,1949,NA,1949,un,9,n,Subplot ID mistaken in 2018,,
B03W,NE,i,fagr,B03E_fagr_01_07292018,1968,NA,1968,un,12,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,SE,i,fagr,B03E_fagr_04_07292018,2003,NA,2003,sap,3,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,NW,i,fagr,B03E_fagr_10_07292018,2060,NA,2060,sap,3,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,NW,i,acpe,B03E_acpe_01_07292018,2061,NA,2061,sap,2,n,Mistaken subplot ID in 2018; should be BO3W,,
B03W,NW,i,fagr,B03E_fagr_09_07292018,2062,NA,2062,sap,3,n,Mistaken subplot ID in 2018; should be BO3W,,
B03E,NW,i,acru,B03W_acru_01_07292018,2130,NA,2130,un,3,n,Mistaken subplot ID in 2018; should be BO3E,,
B04W,SW,i,fagr,B04W_fagr_02_07272018,2206,NA,2206,sap,2,n,,,
B04W,NW,i,acpe,B04W_acpe_01_07272018,2226,NA,2226,sap,3,n,,,
B04W,NW,i,acpe,B04W_acpe_02_07272018,2227,NA,2227,sap,2,n,,,
B04W,NW,i,acpe,B04W_acpe_03_07272018,2228,NA,2228,sap,2,n,,,
B04E,NE,i,acpe,B04E_acpe_02_07272018,2262,NA,2262,sap,3,n,,,
B04E,NE,i,acpe,B04E_acpe_01_07272018,2263,NA,2263,sap,2,n,,,
B04E,SW,i,acru,B04E_acru_03_07272018,2311,NA,2311,sap,2,n,,,
B04E,SW,i,acru,B04E_acru_02_07272018,2312,NA,2312,sap,2,n,,,
B04E,NW,i,acpe,B04E_acpe_05_07272018,2334,NA,2334,sap,2,n,,,
A03W,NE,i,fagr,A03W_fagr_01_08032018,2362,NA,2362,sap,3,n,,,
A03W,SE,i,acpe,A03W_acpe_02_08032018,2388,NA,2388,sap,2,n,,,
A03E,SE,o,fagr,A03E_fagr_05_08032018,2508,NA,2508,un,9,y,GIRDLED,"still sampled this year, leafed out but dying",not sampled this year; replaced by #4001
A03E,NW,i,fagr,A03E_fagr_09_08032018,2552,NA,2552,sap,2,n,,,
A03E,NW,i,fagr,A03E_fagr_10_08032018,2553,NA,2553,sap,2,n,,,
A03E,NW,i,fagr,A03E_fagr_08_08032018,2554,NA,2554,sap,3,n,,,
A04W,NE,o,fagr,A04W_fagr_02_08022018,2593,NA,2593,os,10,n,,,
A04W,SW,o,acsa,A04W_acsa_01_08022018,2643,NA,2643,os,12,n,,,
A04W,SW,o,fagr,A04W_fagr_07_08022018,2647,NA,2647,un,9,n,,,
A04W,NW,o,fagr,A04W_fagr_10_08022018,2668,NA,2668,un,10,n,,,
A04E,NE,i,acpe,A04E_acpe_01_08022018,2684,NA,2684,sap,2,n,,,
A04E,SE,o,fagr,A04E_fagr_01_08022018,2708,NA,2708,os,15,n,,,
A04E,SE,o,fagr,A04E_fagr_02_08022018,2709,NA,2709,os,9,n,,,
A04E,SE,o,fagr,A04E_fagr_03_08022018,2718,NA,2718,un,9,n,,,
A04E,SW,i,acpe,A04E_acpe_04_08022018,2733,NA,2733,sap,2,n,,,
A04E,NW,o,fagr,A04E_fagr_04_08022018,2760,NA,2760,un,12,n,,,
A01E,NE,i,acpe,A01E_acpe_01_08022018,2784,NA,2784,sap,2,n,,,
A01E,SW,i,acpe,A01E_acpe_05_08022018,2835,NA,2835,sap,2,n,,,
A01E,SW,i,acpe,A01E_acpe_06_08022018,2836,NA,2836,sap,2,n,,,
A01E,SW,i,acpe,A01E_acpe_07_08022018,2838,NA,2838,sap,3,n,,,
A01W,NE,i,fagr,A01W_fagr_02_08022018,2880,NA,2880,sap,2,n,,,
A01W,NE,i,fagr,A01W_fagr_01_08022018,2881,NA,2881,sap,2,n,,,
A01W,NE,i,fagr,A01W_fagr_03_08022018,2883,NA,2883,sap,2,n,,,
A01W,SE,i,fagr,A01W_fagr_05_08022018,2906,NA,2906,sap,2,n,,,
A01W,SE,i,fagr,A01W_fagr_04_08022018,2907,NA,2907,sap,2,n,,,dying; not sampled & replaced by #4628
A01W,SW,i,fagr,A01W_fagr_07_08022018,2934,NA,2934,sap,4,n,,,
A02W,NE,i,acpe,A02W_acpe_01_08032018,3000,NA,3000,sap,2,n,branch knocked off over winter; pick new leaf/branch,,
A02W,NE,i,acpe,A02W_acpe_02_08032018,3001,NA,3001,sap,2,n,,,
A02E,NE,i,fagr,A02E_fagr_01_08032018,3089,NA,3089,sap,2,n,Dead branch -> new 01,,
A02E,NE,i,fagr,A02E_fagr_02_08032018,3090,NA,3090,sap,2,n,Dead branch -> new 02,,
A02E,NE,i,acpe,A02E_acpe_01_08032018,3092,NA,3092,sap,4,n,,,
A02E,SW,i,acpe,A02E_acpe_02_08032018,3165,NA,3165,sap,2,n,,,
C03W,NE,o,acpe,C03W_acpe_01_07272018,NA,3166,3166,sap,2,n,,,dead; replaced by #4625
C03W,NE,o,acpe,C03W_acpe_02_07272018,NA,3167,3167,sap,1,n,,,
C03W,NE,o,acpe,C03W_acpe_03_07272018,NA,3168,3168,sap,2,n,,,
C03W,SE,o,acpe,C03W_acpe_04_07272018,NA,3169,3169,sap,1,n,,,
C03W,SE,o,fagr,C03W_fagr_02_07272018,NA,3170,3170,sap,1,n,,dead; replaced by #4607,
C03W,SW,o,fagr,C03W_fagr_03_07272018,NA,3171,3171,un,7,n,,,
C03W,SW,o,fagr,C03W_fagr_04_07272018,NA,3172,3172,sap,1,n,,,
C03W,SW,o,acpe,C03W_acpe_05_07272018,NA,3173,3173,sap,2,n,,,
C03W,NW,o,fagr,C03W_fagr_05_07272018,NA,3174,3174,un,8,n,branch cut off during girdling (GEORGE); select new leaf/branch *new 05,,
C03W,NW,o,acpe,C03W_acpe_06_07272018,NA,3175,3175,sap,1,n,,,
C03W,NW,o,fagr,C03W_fagr_06_07272018,NA,3176,3176,sap,1,n,,,
C03E,SE,o,fagr,C03E_fagr_02_07272018,NA,3179,3179,sap,4,n,,,
C03E,SW,o,acpe,C03E_acpe_04_07272018,NA,3181,3181,sap,1,n,,,
C03E,SW,o,fagr,C03E_fagr_04_07272018,NA,3182,3182,un,8,n,,,
C03E,SW,o,fagr,C03E_fagr_05_07272018,NA,3183,3183,sap,1,n,,,
C03E,NW,i,acpe,C03E_acpe_05_07272018,NA,3184,3184,sap,2,n,,,
C03E,NW,i,acpe,C03E_acpe_06_07272018,NA,3185,3185,sap,2,n,,,
C03E,NW,i,acpe,C03E_acpe_07_07272018,NA,3186,3186,sap,1,n,,,
