subplot_id,nested_subplot,Photo#,Aperture,ExposureTime,gap_fraction,openness,year,height_m
B01E,0,2961,4,125,2.68,2.05,2021,0
B01E,1,2962,4,125,4.22,2.91,2021,0
B01E,3,2963,4,125,5.1,3.65,2021,0
B01E,5,2964,4,125,3.63,2.7,2021,0
B01E,7,2965,4,125,2.51,1.77,2021,0
B01W,0,2967,4,125,1.64,1.22,2021,1
B01W,1,2968,4,125,1.77,1.33,2021,1
B01W,3,2969,4,125,2.2,1.53,2021,1
B01W,5,2970,4,125,2.59,1.94,2021,1
B01W,7,2971,4,125,1.63,1.18,2021,1
B01W,0,2973,4,125,1.65,1.21,2021,0
B01W,1,2974,4,125,1.47,1.06,2021,0
B01W,3,2975,4,125,1.78,1.25,2021,0
B01W,5,2976,4,125,2.62,1.87,2021,0
B01W,7,2977,4,125,1.53,1.11,2021,0
B02E,0,2979,4,125,3.11,2.23,2021,1
B02E,1,2980,4,125,4.23,2.98,2021,1
B02E,3,2981,4,125,4.42,3.14,2021,1
B02E,5,2982,4,125,1.67,1.16,2021,1
B02E,7,2983,4,125,5.27,3.83,2021,1
B02E,0,2985,4,125,2.94,2.22,2021,0
B02E,1,2986,4,125,2.02,1.66,2021,0
B02E,3,2987,4,125,2.92,2.07,2021,0
B02E,5,2988,4,125,0.84,0.63,2021,0
B02E,7,2989,4,125,2.45,1.76,2021,0
B02W,0,2991,4,125,14.93,9.84,2021,1
B02W,1,2992,4,125,14.38,9.97,2021,1
B02W,3,2993,4,125,6.26,4.33,2021,1
B02W,5,2994,4,125,15.5,10.59,2021,1
B02W,7,2995,4,125,11.91,7.88,2021,1
B02W,0,2997,4,125,10.91,7.01,2021,0
B02W,1,2998,4,125,4.1,2.86,2021,0
B02W,3,2999,4,125,5.36,3.79,2021,0
B02W,5,3002,4,125,10.26,6.77,2021,0
B02W,7,3005,4,125,9.86,6.47,2021,0
C01W,0,3007,4,125,8.48,6.17,2021,1
C01W,1,3008,4,125,6.97,4.89,2021,1
C01W,3,3009,4,125,8.35,5.64,2021,1
C01W,5,3010,4,125,7.81,5.54,2021,1
C01W,7,3011,4,125,9.77,7.24,2021,1
C01W,0,3013,4,125,7.45,5.47,2021,0
C01W,1,3014,4,125,5.8,4.02,2021,0
C01W,3,3015,4,125,6.17,4.11,2021,0
C01W,5,3016,4,125,5.45,3.68,2021,0
C01W,7,3017,4,125,8.64,6.53,2021,0
C01E,0,3019,4,125,7.03,5.13,2021,1
C01E,1,3020,4,125,8.38,6.25,2021,1
C01E,3,3021,4,125,5.72,4.04,2021,1
C01E,5,3022,4,125,4.22,3.13,2021,1
C01E,7,3023,4,125,8.11,5.71,2021,1
C01E,0,3025,4,125,6.77,4.84,2021,0
C01E,1,3026,4,125,7.78,5.63,2021,0
C01E,3,3027,4,125,4.43,3.25,2021,0
C01E,5,3028,4,125,3.52,2.54,2021,0
C01E,7,3029,4,125,5.36,3.61,2021,0
C02W,0,3031,4,125,10.37,6.83,2021,1
C02W,1,3032,4,125,8.08,5.53,2021,1
C02W,3,3033,4,125,6.45,5.29,2021,1
C02W,5,3034,4,125,10.77,7.56,2021,1
C02W,7,3035,4,125,3.24,2.61,2021,1
C02W,0,3037,4,125,6.94,4.86,2021,0
C02W,1,3038,4,125,7.68,5.33,2021,0
C02W,3,3039,4,125,6.61,5.26,2021,0
C02W,5,3040,4,125,10.67,7.46,2021,0
C02W,7,3041,4,125,4.07,3.17,2021,0
C02E,0,3044,4,125,7.79,5.99,2021,1
C02E,1,3045,4,125,9.62,6.72,2021,1
C02E,3,3046,4,125,5.1,3.32,2021,1
C02E,5,3047,4,125,10.59,7.16,2021,1
C02E,7,3048,4,125,4.78,3.2,2021,1
C02E,0,3050,4,125,7.58,5.4,2021,0
C02E,1,3052,4,125,7.3,5.12,2021,0
C02E,3,3053,4,125,4.79,3.14,2021,0
C02E,5,3054,4,125,7.74,5.08,2021,0
C02E,7,3055,4,125,5.58,3.76,2021,0
C03W,0,3057,4,125,6.81,5.39,2021,1
C03W,1,3058,4,125,17.01,11.63,2021,1
C03W,3,3059,4,125,4.53,3.48,2021,1
C03W,5,3060,4,125,7.06,5.31,2021,1
C03W,7,3061,4,125,3.59,2.85,2021,1
C03W,0,3063,4,125,8.03,5.91,2021,0
C03W,1,3064,4,125,12.49,8.26,2021,0
C03W,3,3065,4,125,4.58,3.37,2021,0
C03W,5,3066,4,125,7.08,5.18,2021,0
C03W,7,3067,4,125,3.17,2.52,2021,0
C03E,0,3069,4,125,14.09,10.03,2021,1
C03E,1,3070,4,125,16.25,11.63,2021,1
C03E,3,3071,4,125,19.9,13.82,2021,1
C03E,5,3072,4,125,7.84,5.43,2021,1
C03E,7,3073,4,125,11.54,7.61,2021,1
C03E,0,3075,4,125,12.53,8.85,2021,0
C03E,1,3076,4,125,15.37,10.89,2021,0
C03E,3,3077,4,125,10.89,7.17,2021,0
C03E,5,3078,4,125,9.84,7.17,2021,0
C03E,7,3079,4,125,3.67,2.77,2021,0
C04W,0,3081,4,125,7.31,5.57,2021,1
C04W,1,3082,4,125,7.12,5.48,2021,1
C04W,3,3083,4,125,6.39,5.1,2021,1
C04W,5,3084,4,125,5.91,4.16,2021,1
C04W,7,3085,4,125,3.51,2.81,2021,1
C04W,0,3087,4,125,6.78,4.79,2021,0
C04W,1,3088,4,125,7.07,5,2021,0
C04W,3,3089,4,125,6.59,5.32,2021,0
C04W,5,3090,4,125,5.9,4.19,2021,0
C04W,7,3091,4,125,4.88,3.78,2021,0
C04E,0,3093,4,125,10.24,7.4,2021,1
C04E,1,3094,4,125,14.08,9.13,2021,1
C04E,3,3095,4,125,16.33,11.11,2021,1
C04E,5,3096,4,125,1.73,1.41,2021,1
C04E,7,3097,4,125,6.16,4.37,2021,1
C04E,0,3099,4,125,7.88,5.64,2021,0
C04E,1,3100,4,125,10.86,7.18,2021,0
C04E,3,3101,4,125,12.24,8.26,2021,0
C04E,5,3102,4,125,2.18,1.87,2021,0
C04E,7,3103,4,125,5.04,3.39,2021,0
D04E,0,3107,4,125,20.8,14.73,2021,1
D04E,1,3108,4,125,32.98,21.91,2021,1
D04E,3,3109,4,125,10.94,8.52,2021,1
D04E,5,3110,4,125,25.13,16.82,2021,1
D04E,7,3111,4,125,19.7,14.91,2021,1
D04E,0,3113,4,125,22.33,15.52,2021,0
D04E,1,3114,4,125,29.02,19.2,2021,0
D04E,3,3115,4,125,14.09,10.44,2021,0
D04E,5,3116,4,125,20.31,13.18,2021,0
D04E,7,3117,4,125,17.13,12.28,2021,0
D04W,0,3119,4,125,15.26,12.95,2021,1
D04W,1,3120,4,125,29.04,20.37,2021,1
D04W,3,3121,4,125,37.37,24.81,2021,1
D04W,5,3122,4,125,29.04,20.33,2021,1
D04W,7,3123,4,125,33.76,23.43,2021,1
D04W,0,3125,4,125,17.82,14.37,2021,0
D04W,1,3126,4,125,23.17,15.32,2021,0
D04W,3,3127,4,125,26.87,17.74,2021,0
D04W,5,3128,4,125,16.47,11.41,2021,0
D04W,7,3129,4,125,21.78,15,2021,0
D02W,0,3131,4,125,11.13,7.69,2021,1
D02W,1,3132,4,125,18.54,12.74,2021,1
D02W,3,3133,4,125,4.53,3.65,2021,1
D02W,5,3134,4,125,20.39,14.25,2021,1
D02W,7,3135,4,125,22.12,16.4,2021,1
D02W,0,3137,4,125,13.29,9.09,2021,0
D02W,1,3138,4,125,10.79,7.12,2021,0
D02W,3,3139,4,125,7,5.23,2021,0
D02W,5,3141,4,125,14.34,9.68,2021,0
D02W,7,3142,4,125,18.53,12.44,2021,0
D02E,0,3144,4,125,23.46,16.56,2021,1
D02E,1,3145,4,125,27.88,19.2,2021,1
D02E,3,3146,4,125,13.01,9.31,2021,1
D02E,5,3147,4,125,18.01,13.44,2021,1
D02E,7,3148,4,125,19.22,14.47,2021,1
D02E,0,3150,4,125,20.52,14.03,2021,0
D02E,1,3151,4,125,24.11,16.54,2021,0
D02E,3,3152,4,125,9.5,6.42,2021,0
D02E,5,3154,4,125,16.8,11.75,2021,0
D02E,7,3155,4,125,13.03,9.04,2021,0
D03W,0,3157,4,125,11.2,7.64,2021,1
D03W,1,3158,4,125,15.01,10.25,2021,1
D03W,3,3159,4,125,3.92,3.02,2021,1
D03W,5,3160,4,125,3.26,2.69,2021,1
D03W,7,3161,4,125,11.53,8.52,2021,1
D03W,0,3163,4,125,12.28,8.1,2021,0
D03W,1,3164,4,125,14.87,9.54,2021,0
D03W,3,3165,4,125,4.9,3.83,2021,0
D03W,5,3166,4,125,4.46,3.52,2021,0
D03W,7,3167,4,125,8.82,6.11,2021,0
D03E,0,3169,4,125,12.53,8.96,2021,1
D03E,1,3170,4,125,20.26,13.2,2021,1
D03E,3,3171,4,125,12,8.8,2021,1
D03E,5,3172,4,125,17.21,11.97,2021,1
D03E,7,3173,4,125,9.15,6.67,2021,1
D03E,0,3175,4,125,10.75,7.47,2021,0
D03E,1,3176,4,125,15.88,10.46,2021,0
D03E,3,3177,4,125,11.51,8.14,2021,0
D03E,5,3178,4,125,10.27,7.09,2021,0
D03E,7,3179,4,125,8.13,6.08,2021,0
D01W,0,3181,4,125,5.69,3.83,2021,1
D01W,1,3182,4,125,4.84,3.18,2021,1
D01W,3,3183,4,125,5.68,4.08,2021,1
D01W,5,3184,4,125,5.32,3.73,2021,1
D01W,7,3185,4,125,8.84,6.12,2021,1
D01W,0,3187,4,125,5.28,3.52,2021,0
D01W,1,3188,4,125,6.24,4.13,2021,0
D01W,3,3189,4,125,5.84,4.08,2021,0
D01W,5,3190,4,125,5.15,3.47,2021,0
D01W,7,3191,4,125,7.31,4.9,2021,0
D01E,0,3193,4,125,4.77,3.37,2021,1
D01E,1,3194,4,125,7.37,4.76,2021,1
D01E,3,3195,4,125,5.21,3.84,2021,1
D01E,5,3196,4,125,5.62,4.1,2021,1
D01E,7,3197,4,125,7.85,5.69,2021,1
D01E,0,3199,4,125,5.13,3.71,2021,0
D01E,1,3200,4,125,7.26,4.74,2021,0
D01E,3,3201,4,125,4.85,3.51,2021,0
D01E,5,3202,4,125,5.05,3.45,2021,0
D01E,7,3203,4,125,6.72,4.79,2021,0
