height_m,subplot_id,nested_subplot,Photo#,gap_fraction,openness,year
0,B03E,na,2934,1.84,1.75,2021
0,B03E,0,2935,3.38,2.55,2021
0,B03E,1,2936,2.97,2.03,2021
0,B03E,3,2937,3.52,2.57,2021
0,B03E,5,2938,3.96,2.87,2021
0,B03E,7,2939,2.99,2.27,2021
1,B03W,na,2940,4.76,4.02,2021
1,B03W,0,2941,4.65,3.47,2021
1,B03W,1,2942,5.35,3.75,2021
1,B03W,3,2943,5.56,3.95,2021
1,B03W,5,2944,9.38,6.16,2021
1,B03W,7,2945,5.85,4.06,2021
0,B03W,na,2946,2.02,1.93,2021
0,B03W,0,2947,3.36,2.34,2021
0,B03W,1,2949,6.5,4.26,2021
0,B03W,3,2951,4.31,3.05,2021
0,B03W,5,2952,7.84,5.38,2021
0,B03W,7,2953,5.1,3.49,2021
1,B01E,na,2954,4.83,4.16,2021
1,B01E,0,2955,3.04,2.31,2021
1,B01E,1,2956,5.01,3.39,2021
1,B01E,3,2957,5.7,4.08,2021
1,B01E,5,2958,4.23,3.36,2021
1,B01E,7,2959,2.78,2.06,2021
0,B01E,na,2960,3.49,3.19,2021
0,B01E,0,2961,2.68,2.05,2021
0,B01E,1,2962,4.22,2.91,2021
0,B01E,3,2963,5.1,3.65,2021
0,B01E,5,2964,3.63,2.7,2021
0,B01E,7,2965,2.51,1.77,2021
1,B01W,na,2966,1.56,1.49,2021
1,B01W,0,2967,1.64,1.22,2021
1,B01W,1,2968,1.77,1.33,2021
1,B01W,3,2969,2.2,1.53,2021
1,B01W,5,2970,2.59,1.94,2021
1,B01W,7,2971,1.63,1.18,2021
0,B01W,na,2972,1.94,1.65,2021
0,B01W,0,2973,1.65,1.21,2021
0,B01W,1,2974,1.47,1.06,2021
0,B01W,3,2975,1.78,1.25,2021
0,B01W,5,2976,2.62,1.87,2021
0,B01W,7,2977,1.53,1.11,2021
1,B02E,na,2978,2.77,2.5,2021
1,B02E,0,2979,3.11,2.23,2021
1,B02E,1,2980,4.23,2.98,2021
1,B02E,3,2981,4.42,3.14,2021
1,B02E,5,2982,1.67,1.16,2021
1,B02E,7,2983,5.27,3.83,2021
0,B02E,na,2984,3.29,3.17,2021
0,B02E,0,2985,2.94,2.22,2021
0,B02E,1,2986,2.02,1.66,2021
0,B02E,3,2987,2.92,2.07,2021
0,B02E,5,2988,0.84,0.63,2021
0,B02E,7,2989,2.45,1.76,2021
1,B02W,na,2990,11.05,8.89,2021
1,B02W,0,2991,14.93,9.84,2021
1,B02W,1,2992,14.38,9.97,2021
1,B02W,3,2993,6.26,4.33,2021
1,B02W,5,2994,15.5,10.59,2021
1,B02W,7,2995,11.91,7.88,2021
0,B02W,na,2996,5.82,4.23,2021
0,B02W,0,2997,10.91,7.01,2021
0,B02W,1,2998,4.1,2.86,2021
0,B02W,3,2999,5.36,3.79,2021
0,B02W,5,3002,10.26,6.77,2021
0,B02W,7,3005,9.86,6.47,2021
1,C01W,na,3006,12.74,10.41,2021
1,C01W,0,3007,8.48,6.17,2021
1,C01W,1,3008,6.97,4.89,2021
1,C01W,3,3009,8.35,5.64,2021
1,C01W,5,3010,7.81,5.54,2021
1,C01W,7,3011,9.77,7.24,2021
0,C01W,na,3012,5.95,5.66,2021
0,C01W,0,3013,7.45,5.47,2021
0,C01W,1,3014,5.8,4.02,2021
0,C01W,3,3015,6.17,4.11,2021
0,C01W,5,3016,5.45,3.68,2021
0,C01W,7,3017,8.64,6.53,2021
1,C01E,na,3018,6.56,6.04,2021
