plot,Subplot,mean.height.mean,height.2,mean.height.median,mean.height.var,mean.height.rms,transect.length,can.max.ht,moch,can.max.ht.median,vai.mean,vai.sd,vai.median,vai.column.max,vai.max.ht.mean,vai.max.ht.sd,vai.max.ht.median,vai.max,vai.mean.peak,vai.peak.sd,vai.peak.median,deep.gaps,deep.gap.fraction,porosity,std.std,mean.std,rugosity,top.rugosity,mean.return.ht,sd.return.ht,median.return.ht,sky.fraction,canopy.cover,max.ht,scan.density,rumple,gap.variables,enl,fhd,entropy,gini,mean.intensity,median.intensity,sd.intensity,max.intensity,min.intensity,skew.intensity,kurtosis.intensity,p10,p25,p50,p75,p90
forte2021_B04W_EW.CSV,B04W,6.352590537,5.847817193,4.747265566,34.19696593,8.584721795,40,27.174,11.1957,7.449,5.373425845,3.107098315,7.491917262,8,6.525,8.171204914,2,8,3.070823303,2.037338124,2.62751715,0,0,0.799107143,816.5608209,16.20995388,23.53291771,9.448916199,4.040348842,4.454596916,2.058,20.60833005,79.39166995,27.174,1902.875,5.25,0.902656084,17.52336449,2.731077855,9.018730887,0.991346381,60.77538792,63,25.71559673,4637,6,93.22016857,16600.18273,1.258,1.459,2.058,4.474,9.838
forte2021_B04W_NS.CSV,B04W,7.611575352,4.614962465,6.469084432,21.29787855,8.871387204,40,26.401,15.40555,18.1035,5.611158434,2.72097806,6.793552398,8,6.575,5.821654977,5,4.770209116,2.467595788,1.285504984,2.46029903,1,0.025,0.707407407,841.433727,18.58849522,22.26884758,8.677845712,5.76563231,5.113294881,4.1105,14.95031738,85.04968262,26.401,1866.975,7.325,0.927773746,21.26405451,2.828527549,9.258907419,1.626611117,63.97115233,65,14.91313491,724,6,0.878913344,63.91067414,1.609,2.514,4.109,6.716,12.0874
forte2021_C01E_EW.CSV,C01E,11.40757606,4.094443363,12.00420137,16.76446646,12.10281564,40,21.767,15.313375,16.0595,6.652511503,2.511368952,8,8,11.925,5.649540485,13,7.98178493,3.046389984,1.590261662,2.953762984,1,0.025,0.677173913,327.1294706,13.13528965,12.43356893,4.874245812,7.710770129,4.194917772,7.501,10.70404282,89.29595718,21.767,2083.45,5.55,0.90539625,17.09808102,2.86505772,8.825509652,1.693988174,77.22753051,80,17.16411376,132,7,-0.628285791,3.563097574,2.436,3.728,7.501,10.739,13.085
forte2021_C01E_NS.CSV,C01E,10.78785799,4.24698101,11.34083259,18.0368477,11.57427347,40,21.616,14.390125,13.0265,7.303307747,1.618921474,8,8,10.525,5.486521947,10.5,6.79350697,3.589710767,1.502324439,3.560747748,0,0,0.665217391,210.6243177,10.13181933,10.39088807,5.788260317,7.406974077,4.447051242,5.967,2.757080738,97.24291926,21.616,2127.25,3.625,0.933994222,18.81475605,2.808133867,8.630613488,1.630596064,79.85661454,82,16.90842652,983,6,1.000338644,102.2972108,2.619,4.028,5.967,10.685,14.065
forte2021_C01W_EW.CSV,C01W,9.705521925,4.961245991,10.40608233,24.61396178,10.86235022,30,21.223,13.23473333,14.7495,6.514391139,2.582704146,8,8,9.366666667,5.863289258,10,8,3.500518914,2.056290918,3.298333715,1,0.033333333,0.693939394,142.4210137,7.982377958,8.871451729,6.093279208,7.378115849,4.947270882,5.717,12.736784,87.263216,21.223,2657.266667,5.733333333,0.945791041,18.11900533,2.802988139,8.563368417,1.505014508,79.30974698,80,315.8003188,83237,6,262.4938067,69121.36878,1.831,3.194,5.717,11.297,14.924
forte2021_C01W_NS.CSV,C01W,8.887258645,3.983126703,9.409677273,15.86529833,9.718643531,40,21.062,13.06815,15.608,6.139073694,2.512223776,8,8,8.575,5.227577269,9,7.797324611,3.544113027,2.123526399,3.217892063,0,0,0.696590909,308.3616034,12.46558527,12.36813596,5.464160135,5.466909774,4.341192295,3.299,10.92386047,89.07613953,21.062,2145.2,4.75,0.894546526,15.83848034,2.649985366,8.075752146,1.57057918,70.31999163,72,16.11620402,118,6,-0.767243272,4.074506191,1.74,2.172,3.299,9.324,12.1386
forte2021_C02E_EW.CSV,C02E,9.335295413,5.224376598,8.073382626,27.29411083,10.66580979,40,26.804,18.4957,22.879,5.43902133,2.626907011,5.532078165,8,8.125,7.504485838,5,7.662920204,2.7017339,1.75817268,2.274903422,0,0,0.675,1406.504826,28.97542381,23.81028436,8.507520137,6.893651821,6.658913316,3.719,14.311848,85.688152,26.804,2159.35,6.725,0.902833299,21.04447268,2.747063971,9.033860327,1.371977737,70.06189955,71,18.89496262,137,6,-0.442833726,3.480261315,1.764,2.614,3.719,8.131,20.494
forte2021_C02E_NS.CSV,C02E,10.11326724,5.893906608,8.092798621,34.73813511,11.66824134,40,26.819,17.552625,22.394,5.964635144,2.497255305,7.31647397,8,8.675,7.133839546,6,8,3.204818085,2.140988149,3.149450002,0,0,0.673214286,870.3742648,21.09013216,20.6296047,9.016137893,8.078119425,6.701003058,5.762,12.21508192,87.78491808,26.819,1451.2,5.05,0.945793414,23.43526942,2.889582675,9.504156981,1.412644948,72.07079359,74,20.21866485,1129,4.004,3.067968839,178.2320416,1.729,2.512,5.761,12.286,20.3299
forte2021_C02W_EW.CSV,C02W,9.904237918,6.27081242,8.907569355,39.32308841,11.68049399,40,27.775,14.07025,12.7555,6.15166238,2.830855119,8,8,9.35,6.978171092,9,8,3.270647149,2.31749414,2.744268329,0,0,0.769827586,386.2642006,10.31735937,16.72771043,8.400322881,6.634127614,6.133512289,4.564,14.89149271,85.10850729,27.775,2178.55,5.35,0.939096846,21.50497738,2.712006073,9.015077928,1.44466862,68.10602117,69,14.1547316,118,6,-0.414987258,4.076792883,1.609,1.981,4.564,8.6445,14.837
forte2021_C02W_NS.CSV,C02W,10.66322121,4.880601318,10.68434406,23.82026923,11.70166864,40,28.434,18.517475,22.357,5.576296294,2.666870686,6.637470216,8,8.775,6.006353474,8,7.745546343,2.783805549,2.013006988,2.368878553,0,0,0.696551724,1020.230708,20.74780075,24.28496392,9.024384022,8.055904308,6.365620258,7.343,14.35421453,85.64578547,28.434,1621.6,6,0.925906904,23.1423235,2.816772112,9.429385793,1.432424324,72.35294435,73,16.43481954,123,6,-0.556961524,3.816985148,1.638,2.932,7.342,10.12875,18.3497
forte2021_C03E_EW.CSV,C03E,5.358684076,2.918933729,4.756329385,8.520174115,6.078787982,30,22.933,11.8453,10.2865,5.329869823,2.972476901,6.971807326,8,4.5,3.266866051,3.5,7.990290869,2.823116671,1.932992328,2.56012208,1,0.033333333,0.743055556,341.4438497,11.75200058,14.25953478,7.964489135,4.417631905,3.818974844,3.229,18.61790829,81.38209171,24.023,2818.566667,7.166666667,0.802324072,14.14840843,2.224827448,7.072752497,1.332144736,57.94467454,59,14.69760114,118,5,-0.132001513,4.006323001,1.958,2.361,3.229,4.155,9.563
